dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
425.0,-0.10000000000002274,214.0,217.0,86.0,100.0,0.0,0.0,12.35,9.39,4.0,5.0,-2.56,-2.27,0.28,0.29,6466.0,7024.0
430.0,-0.0999999999999659,215.0,217.0,86.0,100.0,0.0,0.0,11.52,9.43,4.0,5.0,-2.13,-2.65,0.28,0.34,6469.0,7022.0
435.0,-0.10000000000002274,215.0,218.0,81.0,100.0,0.0,0.0,11.6,9.37,4.0,5.0,-1.49,-1.76,0.19,0.27,6548.0,7058.0
440.0,-0.10000000000002274,215.0,218.0,81.0,97.0,0.0,0.0,11.53,9.36,4.0,5.0,-2.21,-1.7,0.25,0.29,6565.0,7233.0
445.0,-0.11000000000001364,216.0,218.0,87.0,99.0,0.0,0.0,10.925,8.53,4.0,5.0,-2.85,-3.05,0.22999999999999998,0.37,6501.0,7088.0
450.0,-0.11000000000001364,216.0,218.0,88.0,100.0,0.0,0.0,10.73,8.465,4.0,5.0,-1.95,-2.16,0.21,0.27,6538.0,7048.5
455.0,-0.10000000000002274,217.0,218.0,89.0,99.0,0.0,0.0,10.4,8.2,4.0,5.0,-2.67,-2.33,0.32,0.39,6542.0,7187.0
460.0,-0.0999999999999659,217.0,219.0,92.0,100.0,0.0,0.0,10.14,6.46,4.0,5.0,-2.31,-2.8,0.27,0.33,6534.0,7072.0
465.0,-0.10000000000002274,217.0,219.0,88.0,100.0,0.0,0.0,10.27,5.99,4.0,5.0,-1.96,-2.15,0.29,0.26,6599.0,7124.0
470.0,-0.10000000000002274,218.0,219.0,91.0,100.0,0.0,0.0,9.53,4.89,4.0,5.0,-2.54,-2.49,0.26,0.36,6582.0,7174.0
475.0,-0.11000000000001364,218.0,219.0,98.5,100.0,0.0,0.0,7.785,3.0,4.0,5.0,-2.145,-2.5,0.29000000000000004,0.31,6601.5,7090.0
480.0,-0.12000000000000455,219.0,220.0,98.0,100.0,0.0,0.0,8.53,3.7,4.0,5.0,-2.58,-2.6,0.28,0.31,6593.0,7116.0
485.0,-0.12000000000000455,219.0,220.0,100.0,100.0,0.0,0.0,8.57,3.07,4.0,5.0,-2.65,-2.85,0.29,0.31,6600.0,7094.0
490.0,-0.10999999999998522,220.0,220.0,97.0,100.0,0.0,0.0,8.78,3.62,4.0,5.0,-2.23,-2.375,0.24,0.265,6639.0,7101.5
495.0,-0.11000000000001364,220.0,220.5,100.0,100.0,0.0,0.0,8.06,2.705,4.0,5.0,-2.49,-2.375,0.31,0.29000000000000004,6644.0,7114.5
500.0,-0.10000000000002274,221.0,221.0,100.0,100.0,0.0,0.0,7.19,2.3,4.0,5.0,-2.26,-1.88,0.27,0.25,6665.0,7123.0
505.0,-0.10000000000002274,221.0,221.0,100.0,100.0,0.0,0.0,6.92,2.45,4.0,5.0,-2.27,-1.96,0.28,0.28,6689.0,7150.0
510.0,-0.0999999999999659,221.0,222.0,100.0,100.0,0.0,0.0,4.77,1.44,4.0,5.0,-1.5,-1.28,0.23,0.24,6715.0,7182.0
515.0,-0.10000000000002274,222.0,223.0,100.0,100.0,0.0,0.0,4.44,1.65,4.0,5.0,-1.64,-1.36,0.28,0.3,6834.0,7229.0
520.0,-0.10000000000002274,223.0,223.0,100.0,100.0,0.0,0.0,2.03,0.55,4.0,5.0,-2.2,-1.57,0.36,0.29,6728.0,7198.0
525.0,-0.10999999999998522,223.0,224.0,100.0,100.0,0.0,0.0,1.725,0.16,4.0,5.0,-1.345,-1.17,0.275,0.26,6703.5,7184.0
530.0,-0.10999999999998522,224.0,224.0,100.0,100.0,0.0,0.0,1.4300000000000002,0.66,4.0,5.0,-0.56,-0.41,0.019999999999999997,0.01,7078.0,7417.0
535.0,-0.11000000000001364,225.0,225.0,100.0,100.0,0.0,0.0,0.005000000000000001,0.22,4.0,5.0,-1.3250000000000002,-1.02,0.36,0.69,6743.0,7366.0
540.0,-0.11000000000001364,225.0,226.0,100.0,100.0,0.0,0.0,0.27,-0.03,4.0,5.0,-0.755,-1.0,0.28,0.25,6764.5,7257.0
545.0,-0.10999999999998522,226.0,227.0,100.0,100.0,0.0,0.0,-0.75,-0.81,4.0,5.0,-0.375,-0.49,0.23500000000000001,0.16,6879.0,7365.0
550.0,-0.11000000000001364,227.0,227.0,100.0,100.0,0.0,0.0,-1.725,-1.6,4.0,5.0,-0.09000000000000001,-0.54,0.30000000000000004,0.26,6807.5,7306.0
555.0,-0.11000000000001364,228.0,228.0,100.0,100.0,0.0,0.0,-1.74,-1.82,4.0,5.0,0.185,-0.07,0.22999999999999998,0.22,6898.5,7343.0
560.0,-0.0999999999999659,228.0,229.0,100.0,100.0,0.0,0.0,-2.05,-1.91,4.0,5.0,0.46,0.19,0.3,0.27,6870.0,7387.0
565.0,-0.0999999999999659,229.0,229.0,100.0,100.0,0.0,0.0,-2.79,-1.88,4.0,5.0,0.62,0.43,0.25,0.24,6921.0,7398.0
570.0,-0.10000000000002274,230.0,230.0,100.0,100.0,0.0,0.0,-2.42,-1.8,4.0,5.0,0.88,0.71,0.28,0.26,6925.0,7416.0
575.0,-0.11000000000001364,231.0,231.0,100.0,100.0,0.0,0.0,-2.73,-2.04,4.0,5.0,0.76,0.6799999999999999,0.19,0.22,6976.0,7435.5
580.0,-0.10999999999998522,231.0,231.0,100.0,100.0,0.0,0.0,-3.2,-2.67,4.0,5.0,1.1,0.95,0.32,0.26,6959.0,7472.5
585.0,-0.12000000000000455,232.0,232.0,100.0,100.0,0.0,0.0,-3.28,-2.67,4.0,5.0,1.12,1.16,0.24,0.25,6983.0,7477.0
590.0,-0.12000000000000455,232.0,232.0,100.0,100.0,0.0,0.0,-3.72,-2.68,4.0,5.0,1.05,1.07,0.24,0.2,7030.0,7515.0
