dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
10715.0,2.816666666666606,215.0,210.0,100.0,97.66666666666667,0.0,0.0,-1.79,-5.536666666666667,4.0,4.0,0.91,1.7933333333333334,0.2,0.19333333333333333,6491.0,6382.0
10720.0,2.8166666666669187,216.0,210.0,100.0,100.0,0.0,0.0,-1.79,-5.3,4.0,4.0,0.6533333333333333,1.83,0.15666666666666668,0.19,6553.666666666667,6369.0
10725.0,2.8166666666669755,216.33333333333334,210.0,100.0,98.0,0.0,0.0,-1.79,-5.1033333333333335,4.0,4.0,0.6166666666666666,1.17,0.18,0.14,6606.0,6464.0
10730.0,2.824999999999932,217.0,211.0,100.0,100.0,0.0,0.0,-1.79,-4.585,4.0,4.0,0.83,1.135,0.19,0.2,6566.0,6479.0
10735.0,2.83333333333357,218.0,211.33333333333334,100.0,100.0,0.0,0.0,-1.79,-3.8233333333333333,4.0,4.0,0.6866666666666666,1.5633333333333332,0.18000000000000002,0.26,6580.666666666667,6461.666666666667
10740.0,2.833333333333627,218.0,212.0,100.0,100.0,0.0,0.0,-1.79,-2.69,4.0,4.0,0.6233333333333333,1.35,0.20666666666666667,0.2,6636.0,6408.0
10745.0,2.8333333333332575,219.0,212.0,100.0,100.0,0.0,0.0,-1.79,-1.96,4.0,4.0,0.75,0.9633333333333333,0.22,0.17333333333333334,6628.0,6544.0
10750.0,2.83333333333357,219.0,213.0,100.0,100.0,0.0,0.0,-1.7366666666666666,-1.2666666666666666,4.0,4.0,0.7666666666666667,1.1500000000000001,0.20666666666666667,0.28,6623.666666666667,6506.666666666667
10755.0,2.833333333333627,220.0,213.0,100.0,100.0,0.0,0.0,-1.56,-0.43,4.0,4.0,0.72,1.02,0.19,0.18,6636.0,6445.0
10760.0,2.8333333333332575,221.0,214.0,100.0,100.0,0.0,0.0,-1.34,0.026666666666666672,4.0,4.0,0.74,0.7833333333333333,0.23,0.21,6648.0,6459.666666666667
10765.0,2.8416666666669244,221.0,214.33333333333334,100.0,100.0,0.0,0.0,-1.3450000000000002,0.27,4.0,4.0,0.6699999999999999,0.49000000000000005,0.2,0.21333333333333335,6655.0,6476.666666666667
10770.0,2.850000000000364,222.0,215.0,100.0,100.0,0.0,0.0,-1.35,0.42,4.0,4.0,0.53,0.24,0.17,0.21,6689.0,6477.0
10775.0,2.8499999999999943,222.0,215.66666666666666,100.0,100.0,0.0,0.0,-1.3566666666666667,0.4666666666666667,4.0,4.0,0.6133333333333334,0.09333333333333334,0.19999999999999998,0.21,6699.666666666667,6501.666666666667
10780.0,2.8500000000002785,223.0,216.33333333333334,100.0,100.0,0.0,0.0,-1.36,0.29666666666666663,4.0,4.0,0.5766666666666667,-0.009999999999999998,0.17,0.21,6704.333333333333,6538.333333333333
10785.0,2.850000000000364,223.0,217.0,100.0,100.0,0.0,0.0,-1.38,-0.34,4.0,4.0,0.52,0.0,0.19,0.21,6744.0,6535.0
10790.0,2.8499999999999943,224.0,217.66666666666666,100.0,100.0,0.0,0.0,-1.6233333333333333,-0.57,4.0,4.0,0.64,0.04666666666666667,0.19333333333333333,0.19333333333333333,6741.333333333333,6568.0
10795.0,2.8500000000002785,224.33333333333334,218.33333333333334,100.0,100.0,0.0,0.0,-1.65,-0.6,4.0,4.0,0.62,0.10666666666666666,0.18333333333333335,0.20666666666666667,6757.666666666667,6584.333333333333
10800.0,2.8625000000002956,225.0,219.0,100.0,100.0,0.0,0.0,-1.65,-0.67,4.0,4.0,0.5650000000000001,0.17,0.1925,0.17,6795.25,6595.0
10805.0,2.8666666666667027,225.33333333333334,219.66666666666666,100.0,100.0,0.0,0.0,-1.6366666666666665,-0.71,4.0,4.0,0.7033333333333334,0.20333333333333334,0.20666666666666667,0.20333333333333334,6804.0,6620.666666666667
10810.0,2.8666666666670153,226.0,220.0,100.0,100.0,0.0,0.0,-1.58,-0.7233333333333333,4.0,4.0,0.73,0.24666666666666667,0.17,0.19333333333333333,6784.0,6653.333333333333
10815.0,2.86666666666693,226.0,221.0,100.0,100.0,0.0,0.0,-1.49,-0.71,4.0,4.0,0.67,0.31,0.18333333333333335,0.21,6820.666666666667,6632.0
10820.0,2.8666666666667027,227.0,221.0,100.0,100.0,0.0,0.0,-1.3833333333333333,-0.71,4.0,4.0,0.6166666666666667,0.2733333333333334,0.16333333333333333,0.18333333333333332,6835.0,6659.333333333333
10825.0,2.879166666666947,227.0,222.0,100.0,100.0,0.0,0.0,-1.2775,-0.7266666666666667,4.0,4.0,0.595,0.29000000000000004,0.1625,0.20333333333333334,6845.75,6689.666666666667
10830.0,2.8833333333335247,228.0,222.0,100.0,100.0,0.0,0.0,-1.07,-0.97,4.0,4.0,0.5933333333333334,0.32,0.18333333333333335,0.19,6860.0,6705.0
10835.0,2.8750000000001137,228.0,223.0,100.0,100.0,0.0,0.0,-0.89,-1.3599999999999999,4.0,4.0,0.46,0.41000000000000003,0.17,0.2,6877.0,6717.5
10840.0,2.86666666666693,229.0,223.0,100.0,100.0,0.0,0.0,-0.8533333333333333,-1.57,4.0,4.0,0.38,0.44,0.16666666666666666,0.17,6957.666666666667,6720.0
10845.0,2.8833333333334394,229.0,224.0,100.0,100.0,0.0,0.0,-0.85,-1.5633333333333335,4.0,4.0,0.47,0.44333333333333336,0.2,0.19,6939.0,6796.333333333333
10850.0,2.8833333333335247,230.0,224.33333333333334,100.0,100.0,0.0,0.0,-0.5066666666666667,-1.56,4.0,4.0,0.46,0.5033333333333333,0.18,0.20666666666666667,6909.666666666667,6800.333333333333
10855.0,2.8833333333335247,230.33333333333334,225.0,100.0,100.0,0.0,0.0,-0.09666666666666666,-1.4,4.0,4.0,0.3466666666666667,0.67,0.18666666666666668,0.2,6922.333333333333,6785.0
10860.0,2.8833333333334394,231.0,225.66666666666666,100.0,100.0,0.0,0.0,-0.1,-0.9166666666666667,4.0,4.0,0.26,0.6666666666666667,0.18,0.19333333333333333,6924.0,6785.0
10865.0,2.89583333333357,231.0,226.0,100.0,100.0,0.0,0.0,-0.20666666666666667,-0.6699999999999999,4.0,4.0,0.16666666666666669,0.5875,0.16,0.1875,6945.0,6789.25
10870.0,2.883333333333354,232.0,226.66666666666666,100.0,100.0,0.0,0.0,-0.89,-0.58,4.0,4.0,0.18,0.4633333333333333,0.16,0.18,6983.0,6803.0
10875.0,2.891666666666879,232.0,227.0,100.0,100.0,0.0,0.0,-1.4100000000000001,-0.58,4.0,4.0,0.315,0.3666666666666667,0.175,0.16666666666666666,6979.5,6834.333333333333
10880.0,2.9000000000003183,233.0,227.0,100.0,100.0,0.0,0.0,-1.54,-0.58,4.0,4.0,0.42,0.33,0.15,0.19,6982.0,6848.0
10885.0,2.8916666666667368,233.0,228.0,100.0,100.0,0.0,0.0,-1.54,-0.585,4.0,4.0,0.51,0.34,0.15333333333333332,0.18,6996.0,6847.0
10890.0,2.887500000000273,233.25,228.0,100.0,100.0,0.0,0.0,-1.54,-0.59,4.0,4.0,0.55,0.32,0.14,0.14,7020.5,6858.0
10895.0,2.900000000000233,234.0,229.0,100.0,100.0,0.0,0.0,-1.54,-0.63,4.0,4.0,0.5433333333333333,0.2733333333333334,0.12000000000000001,0.13666666666666666,7047.666666666667,6881.666666666667
10900.0,2.900000000000091,234.0,229.0,100.0,100.0,0.0,0.0,-1.5333333333333334,-0.9533333333333334,4.0,4.0,0.6433333333333333,0.29333333333333333,0.1366666666666667,0.14666666666666667,7059.333333333333,6905.0
10905.0,2.9000000000002615,234.75,229.75,100.0,100.0,0.0,0.0,-1.475,-1.2475,4.0,4.0,0.725,0.3675,0.16749999999999998,0.1625,7045.5,6923.5
